state_name_full,median_income,year,population,latitude,longitude,capital,region
Minnesota,72070,2019,5639632,46.729553,-94.6859,Saint Paul,midwest
Missouri,61110,2019,6137428,37.964253,-91.831833,Jefferson City,midwest
Nebraska,67653,2019,1934408,41.492537,-99.901813,Lincoln,midwest
North Dakota,66005,2019,762062,47.551493,-101.002012,Bismarck,midwest
Ohio,61398,2019,11689100,40.417287,-82.907123,Columbus,midwest
South Dakota,59344,2019,884659,43.969515,-99.901813,Pierre,midwest
Wisconsin,62676,2019,5822434,43.78444,-88.787868,Madison,midwest
Illinois,65030,2018,12723071,40.633125,-89.398528,Springfield,midwest
Indiana,55746,2018,6695497,40.551217,-85.602364,Indianapolis,midwest
Iowa,59955,2018,3148618,41.878003,-93.097702,Des Moines,midwest
Kansas,58218,2018,2911359,39.011902,-98.484246,Topeka,midwest
Michigan,56697,2018,9984072,44.314844,-85.602364,Lansing,midwest
Minnesota,70315,2018,5606249,46.729553,-94.6859,Saint Paul,midwest
Missouri,54478,2018,6121623,37.964253,-91.831833,Jefferson City,midwest
Nebraska,59566,2018,1925614,41.492537,-99.901813,Lincoln,midwest
North Dakota,63837,2018,758080,47.551493,-101.002012,Bismarck,midwest
Ohio,56111,2018,11676341,40.417287,-82.907123,Columbus,midwest
South Dakota,56274,2018,878698,43.969515,-99.901813,Pierre,midwest
Wisconsin,60773,2018,5807406,43.78444,-88.787868,Madison,midwest
Illinois,62992,2017,12778828,40.633125,-89.398528,Springfield,midwest
Indiana,54181,2017,6658078,40.551217,-85.602364,Indianapolis,midwest
Iowa,58570,2017,3141550,41.878003,-93.097702,Des Moines,midwest
Kansas,56422,2017,2908718,39.011902,-98.484246,Topeka,midwest
Michigan,54909,2017,9973114,44.314844,-85.602364,Lansing,midwest
Minnesota,68388,2017,5566230,46.729553,-94.6859,Saint Paul,midwest
Missouri,53578,2017,6106670,37.964253,-91.831833,Jefferson City,midwest
Nebraska,59970,2017,1915947,41.492537,-99.901813,Lincoln,midwest
North Dakota,61843,2017,754942,47.551493,-101.002012,Bismarck,midwest
Ohio,54021,2017,11659650,40.417287,-82.907123,Columbus,midwest
South Dakota,56521,2017,872868,43.969515,-99.901813,Pierre,midwest
Wisconsin,59305,2017,5790186,43.78444,-88.787868,Madison,midwest
Illinois,60960,2016,12820527,40.633125,-89.398528,Springfield,midwest
